permalink,name,homepage_url,category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,status_code
/organization/golfshop-online,Golfshop Online,http://golfshop-online.net,|Sports|E-Commerce|,Sports,35000.0,operating,CHE,,Zurich,Zug,1.0,2011-08-20,2011-08,2011-Q3,2011.0,2013-01-01,2013-01-01,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/nexus-dx,Nexus Dx,http://nexus-dx.com,|Health Care|Biotechnology|,Health Care,9000000.0,acquired,USA,CA,San Diego,San Diego,1.0,,,,,2009-09-28,2009-09-28,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
/organization/evolucion-innovations,Evolucion Innovations,http://www.evo.com,|E-Commerce|,E-Commerce,7577657.0,operating,USA,WA,Seattle,Seattle,2.0,,,,,2010-04-19,2010-07-08,0.0,6577657.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/iplocks,IPLocks,,|Security|,Security,15400000.0,acquired,USA,CA,SF Bay Area,Sunnyvale,1.0,2002-01-01,2002-01,2002-Q1,2002.0,2006-06-14,2006-06-14,0.0,15400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400000.0,0.0,0.0,0.0,0.0,2
/organization/iqua,Iqua,http://www.iqua.com,|Mobile|,Mobile,5720000.0,operating,FIN,,Helsinki,Espoo,2.0,2004-01-01,2004-01,2004-Q1,2004.0,2006-01-25,2006-12-07,0.0,5720000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3060000.0,2660000.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/infused-medical-technology,Infused Medical Technology,http://infusedmedical.com/about.html,|Health and Wellness|,Health and Wellness,4380002.0,operating,USA,TX,Dallas,Dallas,2.0,,,,,2013-12-19,2014-08-14,0.0,4380002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/lijit-networks,Lijit Networks,http://www.lijit.com,|Advertising|,Advertising,28300000.0,acquired,USA,CO,Denver,Boulder,6.0,2006-06-01,2006-06,2006-Q2,2006.0,2007-01-01,2011-04-20,0.0,27300000.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,3300000.0,7100000.0,6000000.0,10000000.0,0.0,0.0,0.0,2
/organization/orlebar-brown,Orlebar Brown,http://orlebarbrown.co.uk,|Fashion|,Fashion,12122011.0,operating,,,,,1.0,2007-01-01,2007-01,2007-Q1,2007.0,2013-08-06,2013-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12122011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/penumbra,Penumbra,http://penumbrainc.com,|Biotechnology|,Biotechnology,121230.0,operating,USA,CA,SF Bay Area,Alameda,1.0,2004-01-01,2004-01,2004-Q1,2004.0,2012-11-02,2012-11-02,121230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
/organization/polisofia,Polisofia,http://www.polisofia.com,|Crowdsourcing|Enterprise Software|,Enterprise Software,170000.0,operating,CHL,,Santiago,Santiago,2.0,2011-09-01,2011-09,2011-Q3,2011.0,2011-10-31,2012-03-31,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
