Model,Resample,Accuracy,Macro F1,Macro Precision,Macro Recall,Weighted F1,Weighted Precision,Weighted Recall,F1 closed,Prec closed,Rec closed,F1 operating,Prec operating,Rec operating,F1 acquired,Prec acquired,Rec acquired
LR (L2),ROS,0.32507117735722657,0.2700412380459558,0.3831895264721124,0.49690730398772326,0.3974238470638391,0.813175453588806,0.32507117735722657,0.1335428122545169,0.07650765076507651,0.5246913580246914,0.4278917633065715,0.9212548015364916,0.2786599535243997,0.24868913857677902,0.1518061271147691,0.6873706004140787
LR (L1),ROS,0.15809747111036676,0.16097270803090566,0.3749045468479832,0.43867137493020136,0.16071253244122607,0.8226037043991646,0.15809747111036676,0.11581676750216076,0.06387035271687322,0.6203703703703703,0.1591070163004961,0.9354166666666667,0.08694810224632069,0.20799434029006014,0.12542662116040956,0.6086956521739131
Random Forest,ROS,0.675263774912075,0.46654825009334594,0.45235612873008235,0.6038606161231396,0.7328677863026415,0.8468908849152335,0.675263774912075,0.25193199381761977,0.16804123711340208,0.5030864197530864,0.7989708021031435,0.9459602649006622,0.6915182029434547,0.3487419543592744,0.24306688417618272,0.6169772256728778
Gradient Boosting,ROS,0.6504773069837548,0.45476011055123283,0.4480864198444059,0.6057748454778058,0.7149571938222152,0.8499731618008282,0.6504773069837548,0.23505154639175257,0.15119363395225463,0.5277777777777778,0.7792,0.9506413831567205,0.6601471727343144,0.35002878526194586,0.24242424242424243,0.629399585921325
XGBoost,ROS,0.6313850276335622,0.44907708184581735,0.44773558788750584,0.6172073683758068,0.7000749800938153,0.8540133283376556,0.6313850276335622,0.23818770226537217,0.1506961506961507,0.5679012345679012,0.7620822173052288,0.9558866491381829,0.6336173508907823,0.3469613259668508,0.23662396382818388,0.650103519668737
LR (L2),RUS,0.33796683972533914,0.2771884465596938,0.38473381896077696,0.4996104215046577,0.4132817488461815,0.8151734495466118,0.33796683972533914,0.1346774193548387,0.0774582560296846,0.5154320987654321,0.44594594594594594,0.9233576642335767,0.2939581719597211,0.2509419743782969,0.15338553661906956,0.6894409937888198
LR (L1),RUS,0.15240328253223914,0.15864813157572388,0.3770162731956193,0.41538158279851983,0.16608580638190668,0.8269604404049063,0.15240328253223914,0.11367342184952248,0.06147644242882338,0.7530864197530864,0.1666078362160254,0.9402390438247012,0.09140201394268009,0.1956631366616238,0.12933333333333333,0.40165631469979296
Random Forest,RUS,0.5754479986601909,0.4208232061931007,0.43783318722029313,0.6170729386255305,0.6526031917320638,0.8560239996072144,0.575447998660191,0.231990231990232,0.1445966514459665,0.5864197530864198,0.7100635075720567,0.9613095238095238,0.5629357087529048,0.32041587901701324,0.20759338640538885,0.7018633540372671
Gradient Boosting,RUS,0.5918606598559705,0.4274531722231867,0.4394525863062539,0.6118514077619666,0.667887463505498,0.8552456139436748,0.5918606598559705,0.22765196662693682,0.1410635155096012,0.5895061728395061,0.7273601924233313,0.9596953348143447,0.5855925639039504,0.32734735761929196,0.21759890859481582,0.660455486542443
XGBoost,RUS,0.5856640428738905,0.425588589283815,0.4398896398794799,0.6158742028185631,0.6627593141847192,0.857319845323926,0.5856640428738905,0.2296037296037296,0.14152298850574713,0.6080246913580247,0.7214622927006415,0.9622215046819502,0.5770720371804803,0.3256997455470738,0.21592442645074225,0.6625258799171843
LR (L2),SMOTE,0.3399765533411489,0.279389546430853,0.38622163076142685,0.5034330939781907,0.4159587390405259,0.8167934164411147,0.3399765533411489,0.13858267716535433,0.07942238267148015,0.5432098765432098,0.44881196831915515,0.9250302297460702,0.296281951975213,0.25077399380804954,0.15421227986673014,0.6708074534161491
LR (L1),SMOTE,0.1596047563222241,0.16328957781759054,0.37594738407231487,0.43528740208466443,0.1673449128663793,0.8238130903416454,0.1596047563222241,0.11647879763821793,0.06378600823045268,0.6697530864197531,0.16687246427941435,0.9366336633663367,0.09159566227730441,0.20651747153513939,0.12742248062015504,0.5445134575569358
Random Forest,SMOTE,0.7713950762016413,0.47935083898766734,0.46017984518512495,0.5167449110278883,0.792222507399376,0.8195683279843043,0.7713950762016413,0.2601010101010101,0.22008547008547008,0.31790123456790126,0.8709970704111526,0.9104540654699049,0.8348179705654531,0.3069544364508393,0.25,0.39751552795031053
Gradient Boosting,SMOTE,0.851951096968682,0.45253961077334165,0.5208968382045305,0.4276147346212494,0.8277003553410905,0.8140328537005423,0.851951096968682,0.1762114537444934,0.3076923076923077,0.12345679012345678,0.9217018899543804,0.8875739644970414,0.9585592563903951,0.2597054886211513,0.36742424242424243,0.20082815734989648
XGBoost,SMOTE,0.8427399095628872,0.4576518616793555,0.4991244459821213,0.437070131929938,0.8245484926689717,0.811760864098818,0.8427399095628872,0.18762475049900199,0.2655367231638418,0.14506172839506173,0.9164866134335369,0.8899835796387521,0.9446165762974439,0.26884422110552764,0.34185303514376997,0.22153209109730848
LR (L2),SMOTETomek,0.3563892145369285,0.28666760942986713,0.3861263343889907,0.5011323945593901,0.4362230447042759,0.8170414912091428,0.3563892145369285,0.13995859213250517,0.08082257293161167,0.5216049382716049,0.4724545716758004,0.9254237288135593,0.3171959721146398,0.2475896644812958,0.15213270142180094,0.6645962732919255
LR (L1),SMOTETomek,0.16044213699547816,0.1639746901069801,0.37629606655620007,0.4346976614084088,0.16928665191378067,0.8245795168910859,0.16044213699547816,0.11635975447024285,0.06368682442302075,0.6728395061728395,0.16913319238900634,0.9375,0.09295120061967467,0.20643112346169115,0.12770137524557956,0.5383022774327122
Random Forest,SMOTETomek,0.7710601239323397,0.48732464286674276,0.466109996154175,0.5313428662384831,0.7934734906249522,0.8241287591488902,0.7710601239323397,0.2613065326633166,0.22033898305084745,0.32098765432098764,0.8701654654349812,0.9144442073821207,0.8299767621998451,0.3305019305019305,0.26354679802955666,0.44306418219461696
Gradient Boosting,SMOTETomek,0.848266622006364,0.4622426973305928,0.514492035916475,0.4385746819307667,0.8280777390391467,0.8151140455980842,0.848266622006364,0.1934156378600823,0.29012345679012347,0.14506172839506173,0.9197640670349219,0.8903389523291644,0.9512006196746708,0.2735483870967742,0.363013698630137,0.2194616977225673
XGBoost,SMOTETomek,0.8370457209847597,0.4635731625558545,0.4911353872887014,0.44686504120265164,0.8234471457041908,0.8127708942722559,0.8370457209847597,0.19029850746268656,0.24056603773584906,0.1574074074074074,0.9133396404919584,0.892896781354051,0.9347405112316034,0.28708133971291866,0.33994334277620397,0.2484472049689441
